"","V1","V2","V3","V4","V5"
"1",0.0930833333333333,0.102222222222222,0.105,0.110861111111111,0.132833333333334
"2",0.104194444444445,0.117027777777778,0.126111111111111,0.129805555555556,0.12475
"3",0.128138888888889,0.126972222222222,0.136111111111111,0.166166666666667,0.163083333333334
"4",0.151166666666667,0.130611111111111,0.147527777777778,0.182833333333334,0.180666666666667
"5",0.166472222222223,0.142777777777778,0.153333333333334,0.199444444444445,0.198500000000001
"6",0.191083333333334,0.14425,0.162527777777778,0.218083333333334,0.228694444444445
"7",0.203305555555556,0.15,0.175000000000001,0.24188888888889,0.256972222222223
"8",0.216166666666667,0.150555555555556,0.190055555555556,0.264805555555556,0.278388888888889
"9",0.24363888888889,0.162527777777778,0.206777777777778,0.278388888888889,0.301527777777776
"10",0.261416666666667,0.168333333333334,0.220555555555556,0.274555555555555,0.32722222222222
"11",0.293888888888888,0.179972222222223,0.229444444444445,0.288083333333333,0.328944444444442
"12",0.320416666666664,0.191722222222223,0.246166666666668,0.300833333333332,0.348861111111108
"13",0.35183333333333,0.21338888888889,0.266722222222222,0.31086111111111,0.370722222222218
"14",0.387083333333328,0.227777777777779,0.275055555555555,0.324305555555553,0.386972222222217
"15",0.427333333333327,0.245361111111112,0.296666666666666,0.332333333333331,0.418083333333326
"16",0.461527777777769,0.259750000000001,0.312833333333332,0.34808333333333,0.41666666666666
"17",0.486166666666657,0.28511111111111,0.336111111111108,0.374499999999996,0.416472222222215
"18",0.523805555555544,0.327833333333331,0.358694444444441,0.385666666666662,0.413333333333327
"19",0.552777777777766,0.360055555555552,0.385555555555551,0.388944444444439,0.42616666666666
"20",0.592388888888875,0.402444444444439,0.413333333333327,0.40905555555555,0.444249999999992
